Year,Grid,Location,Treatment,Week,Date,Date,Day 1,Day 2,Spp,Tag #,Status,Ear,Fate,Sex,Age,Wt. ,testes,vaginal,nipples,Lac,Pg,RE,LE,HD,RE,LE,HD,Botfly,NOTES:
2014,Green Control,G,C,1196,June 12-13,2014/06/12,B7,B8,TS,H4550,P,1,1,2,,56,,,1,,,0,0,0,0,0,1,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,B8,A7,PL,H4694,P,2,1,2,1,25,,1,2,1,,,0,0,,0,0,,right ear gone
2014,Green Control,G,C,1196,June 12-13,2014/06/12,A11,,TS,H4402,P,1,1,2,,88,,,2,1,,0,1,0,0,0,0,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,A7,B11,TS,H4649,N,1,2,1,,52,1,,,,,0,0,1,0,0,2,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,A7,,TS,H2212,P,1,1,2,,77,,,2,1,,0,0,0,0,0,2,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,,H11,BB,,D,,4,,,,,,,,,,,,,,,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,E11,C9,TS,H4563,P,1,1,1,,60,1,,,,,0,1,0,0,0,0,,"right ear infected, last digit possibly 6(is a 3 - KMO)"
2014,Green Control,G,C,1196,June 12-13,2014/06/12,H1,,TS,H2390,P,2,1,2,,66,,,2,,,0,0,1,1,4,10,,right ear ripped
2014,Green Control,G,C,1196,June 12-13,2014/06/12,H2,G5,TS,H4669,P,2,1,1,,84,2,,,,,0,1,0,0,0,1,,right ear ripped
2014,Green Control,G,C,1196,June 12-13,2014/06/12,H7,H6,TS,H4066,P,1,1,1,,82,2,,,,,1,0,,1,1,,,escape
2014,Green Control,G,C,1196,June 12-13,2014/06/12,D6,,TS,H4610,P,1,1,2,,97,,,2,,,0,0,0,0,0,1,,left ear ripped
2014,Green Control,G,C,1196,June 12-13,2014/06/12,D6,E6,TS,H4668,N,1,2,2,,50,,,1,,,1,0,0,2,0,2,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,D2,,PL,H4667,N,1,2,2,3,15,,2,1,,,0,0,1,1,0,1,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,D1,,TS,H4666,N,2,2,2,,48,,,1,,,2,0,1,2,0,0,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,A1,C5,PL,H4566,P,1,1,1,2,19,2,,,,,2,2,1,0,0,0,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,I2,J4,PL,H4571,N,1,2,1,3,11,1,,,,,2,3,0,0,0,0,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,I4,D4,PL,H4561,P,2,1,1,1,24,1,,,,,0,2,0,0,0,0,,"right ear ripped, almost missing"
2014,Green Control,G,C,1196,June 12-13,2014/06/12,I11,,PL,H4573,N,1,2,2,1,23,,1,2,1,,0,2,0,1,0,0,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,H11,,TS,H4574,RT,2,1,2,,91,,,2,1,,1,1,1,0,0,3,,right ear ripped
2014,Green Control,G,C,1196,June 12-13,2014/06/12,H10,G10,PL,H4568,P,2,1,1,1,19,2,,,,,2,5,0,0,0,1,,right ear ripped
2014,Green Control,G,C,1196,June 12-13,2014/06/12,E10,D9,TS,H4575,N,1,2,2,,49,,,1,,,0,0,0,1,0,0,,skinny and cold
2014,Green Control,G,C,1196,June 12-13,2014/06/12,E8,C7,TS,H4638,N,1,2,2,,58,,,1,,,0,0,0,0,0,0,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,E7,,TS,H4232,P,1,1,2,,,,,2,1,,0,0,0,0,1,3,,no weight recorded
2014,Green Control,G,C,1196,June 12-13,2014/06/12,E6,C6,PL,H4673,P,2,1,1,1,23,1,,,,,2,0,0,0,0,0,,right ear ripped
2014,Green Control,G,C,1196,June 12-13,2014/06/12,E3,C5,TS,H4695,P,2,1,1,,88,2,,,,,0,0,0,0,0,0,,right ear ripped
2014,Green Control,G,C,1196,June 12-13,2014/06/12,,I1,TS,H4650,N,1,2,2,,57,,,1,,,0,1,0,0,0,1,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,,I2,TS,H7187,N,1,2,1,,63,1,,,,,1,0,0,0,0,1,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,,I5,BB,,D,,4,,,,,,,,,,,,,,,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,,I9,TS,H7186,N,1,2,1,,50,1,,,,,0,1,0,0,0,2,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,K1,K2,TS,H4671,P,1,1,1,,80,2,,,,,1,1,2,0,1,3,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,K3,,PL,H4675,P,1,1,2,2,17,,2,2,,,1,0,0,0,0,0,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,K4,K6,TS,H4626,N,1,2,1,,53,1,,,,,0,0,1,0,0,3,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,K7,I6,PL,H4697,P,1,1,2,2,19,,2,2,,,1,0,0,0,0,0,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,K8,J10,TS,H4358,P,1,1,2,,86,,,2,1,,2,1,5,0,0,6,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,K9,K9,PL,H4547/H4627,P/RT,"1,2",1,2,2,18,,1,2,,,2,0,0,0,0,0,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,K10,K9,PL,H4696,P,1,1,1,2,17,1,,,,,8,2,1,1,0,0,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,K10,K10,PL,H4628,N,1,2,1,1,20,2,,,,,4,5,2,0,0,0,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,G11,G9,TS,H4629,N,1,2,1,,56,1,,,,,0,1,0,0,0,0,,
