Date,Trapping Type,Location,Tag #,Sex,PIT #,Vaccine,Blood,Ear Punch,Notes,VaccType,VaccDose
2014/6/3,Trapping,TX,E6776,2,985121015368883,V BOOST 2,X,X,,V,1
2014/6/3,Trapping,TX,E6706,2,985121014294874,V,X,X,,V,1
2014/6/3,Trapping,TX,E4323,1,985121009455956,V BOOST 2,,X,no blood,V,1
2014/6/3,Trapping,TX,E6707,1,985121015363223,S,X,X,,S,1
2014/6/3,Trapping,TX,E6753,1,985121015015760,V,X,X,,V,1
2014/6/3,Trapping,TX,E6754,2,985121015302892,V,,,dead,V,1
2014/6/3,Trapping,TX,E4632,2,985121014703086,V BOOST 3,X,X,,V,1
2014/6/4,Trapping,TX,E4690,1,985121013764434,S BOOST,,,old tag was E4640,S,1
2014/6/4,Trapping,TX,E6777,1,985121004993556,S BOOST 2,X,X,,S,1
2014/6/4,Trapping,TX,E4633,2,985121014819074,S BOOST 2,X,X,,S,1
2014/6/4,Trapping,TX,E6789,1,985121014786404,S,,X,no blood,S,1
2014/6/4,Trapping,TX,E4629,2,985121010725598,V,X,X,"already had PIT, trapper didn't notice, now has 2",V,1
2014/6/4,Trapping,TX,E4691,1,985121013873738,S,X,X,"vaccine may have leaked out, gave another 80ul",S,1
2014/6/12,Nestboxes,TX,E4686,2,985121014973911,S BOOST ,,,,S,1
