tag,site,date_elisa,elisa_well,vac_type,vac_status,date_blood,date_int_vac,date_sec_vac,date_third_vac,date_forth_vac,duplicate_num,end_abs_read,max_slope,max_slope_3up,read_zero,read_one,read_two,read_three,read_four,read_five,read_six,read_seven,read_eight,read_nine,read_ten,read_eleven,read_twelve,read_thirteen,read_fourteen,read_fifteen,read_sixteen,read_seventeen,read_eighteen,read_nineteen,read_twenty
E6083,GX,2/12/2015, H03,Sham,0,6/10/2014,6/10/2014,,,,2,0.291,,,0.0394,0.057,0.0806,0.09835,0.11955,0.1405,0.16025,0.1763,0.19375,0.2078,0.22135,0.2325,0.2433,0.2529,0.2604,0.26855,0.2745,0.28035,0.2842,0.28745,0.291
E6060,GX,1/23/2015, B05,Sham,0,6/10/2014,6/10/2014,,,,1,0.3603,,,0.0487,0.1105,0.1318,0.1525,0.172,0.1909,0.2078,0.2261,0.2415,0.2574,0.2703,0.2839,0.296,0.3067,0.3165,0.3256,0.3336,0.3413,0.3483,0.3546,0.3603
E6060,GX,2/12/2015, E10,Sham,0,6/10/2014,6/10/2014,,,,2,0.0132,,,0.0056,0.0047,0.0029,0.00255,0.00365,0.0038,0.00395,0.0043,0.00485,0.0055,0.00595,0.0064,0.007,0.0082,0.0086,0.00965,0.0102,0.01075,0.0119,0.01265,0.0132
E6063 ,GX,1/23/2015, E07,Sham,0,6/10/2014,6/10/2014,6/24/2014,7/8/2014,,1,0.5262,,,0.0932,0.1172,0.1524,0.1875,0.2212,0.2534,0.2821,0.3103,0.3359,0.3616,0.3844,0.4065,0.4256,0.4435,0.4597,0.4735,0.4868,0.4983,0.5087,0.5181,0.5262
E6063,GX,2/12/2015, B08,Sham,0,6/10/2014,6/10/2014,6/24/2014,7/8/2014,,2,0.0508,,,0.0013,0.0117,0.0119,0.01345,0.01595,0.0186,0.02145,0.0241,0.02765,0.0303,0.03305,0.0356,0.0377,0.0404,0.0419,0.04405,0.0458,0.04685,0.0486,0.04945,0.0508
E6063,GX,1/28/2015, E06,Sham,2,7/8/2014,6/10/2014,6/24/2014,7/8/2014,,1,2.849942857,,,0.543985714,1.412757143,2.139128571,2.600885714,2.944328571,3.151242857,3.252471429,3.293985714,3.248228571,3.234071429,3.199428571,3.174714286,3.129957143,3.046742857,3.022571429,2.982585714,2.9734,2.934785714,2.890457143,2.873928571,2.849942857
E6063,GX,2/19/2015, B11,Sham,2,7/8/2014,6/10/2014,6/24/2014,7/8/2014,,2,2.9455,,,0.27065,1.03035,1.60095,2.04435,2.4176,2.7066,2.93165,3.04045,3.16185,3.1906,3.2035,3.1937,3.1692,3.136,3.1554,3.0912,3.0272,3.0465,3.02125,2.9716,2.9455
E5945,GX,1/28/2015, F06,Sham,0,5/13/2014,5/13/2014,5/28/2014,6/10/2014,,1,0.901142857,,,0.098785714,0.172057143,0.247728571,0.303885714,0.359328571,0.412142857,0.463871429,0.510085714,0.554228571,0.594271429,0.635228571,0.672914286,0.706957143,0.739142857,0.768571429,0.795385714,0.8203,0.842685714,0.863357143,0.883828571,0.901142857
E5945,GX,2/12/2015, F02,Sham,0,5/13/2014,5/13/2014,5/28/2014,6/10/2014,,2,0.3625,,,0.0607,0.0849,0.1125,0.13615,0.15785,0.1784,0.19995,0.217,0.23615,0.2536,0.26805,0.2826,0.2953,0.308,0.3179,0.32785,0.3355,0.34385,0.3516,0.35735,0.3625
E5945 ,GX,1/23/2015, E02,Sham,2,6/10/2014,5/13/2014,5/28/2014,6/10/2014,,1,2.8776,,,0.7932,1.3599,1.8222,2.2077,2.5219,2.748,2.9023,3.0137,3.0568,3.083,3.051,3.0498,3.0549,3.0241,2.979,2.9837,2.9476,2.9236,2.8936,2.8796,2.8776
E5945,GX,2/12/2015, E12,Sham,2,6/10/2014,5/13/2014,5/28/2014,6/10/2014,,2,3.6128,,,0.2758,1.1577,1.7331,2.25955,2.71305,3.0983,3.38645,3.4982,3.70825,3.7354,3.71925,3.7044,3.6906,3.6785,3.6665,3.65575,3.6456,3.63615,3.6281,3.62005,3.6128
E6118 ,GX,1/23/2015, B01,Sham,0,6/24/2014,6/24/2014,7/8/2014,7/22/2014,,1,1.2995,,,0.3438,0.3751,0.4656,0.552,0.6321,0.7087,0.7763,0.8452,0.9042,0.9607,1.01,1.0563,1.0972,1.1343,1.1673,1.1964,1.2227,1.2456,1.2661,1.284,1.2995
E6118,GX,2/19/2015, A05,Sham,0,6/24/2014,6/24/2014,7/8/2014,7/22/2014,,2,0.7747,,,0.10965,0.18205,0.24115,0.28595,0.3376,0.3834,0.42675,0.46935,0.50695,0.5491,0.582,0.6039,0.6307,0.6543,0.6823,0.6947,0.7125,0.7354,0.74285,0.7324,0.7747
E6118,GX,1/28/2015, E08,Sham,2,7/22/2014,6/24/2014,7/8/2014,7/22/2014,,1,2.896142857,,,0.460585714,1.516757143,2.042828571,2.501085714,2.857928571,3.106942857,3.198571429,3.253885714,3.292228571,3.261971429,3.222628571,3.188314286,3.155057143,3.112042857,3.055771429,3.020885714,3.0007,2.956685714,2.941657143,2.917928571,2.896142857
E6118,GX,2/19/2015, A02,Sham,2,7/22/2014,6/24/2014,7/8/2014,7/22/2014,,2,3.1553,,,0.51515,1.30545,1.74015,2.11365,2.4434,2.7172,2.90895,3.07395,3.16795,3.2186,3.267,3.2373,3.2147,3.2404,3.2332,3.2161,3.184,3.1827,3.15605,3.0946,3.1553
E6112 ,GX,1/23/2015, A11,Sham,0,6/24/2014,6/24/2014,7/8/2014,7/22/2014,,1,1.2713,,,0.0901,0.2569,0.3536,0.4489,0.5407,0.6263,0.7056,0.7814,0.8489,0.9114,0.9673,1.0177,1.0624,1.1003,1.1356,1.166,1.1925,1.2162,1.2376,1.2558,1.2713
E6112,GX,2/19/2015, A03,Sham,0,6/24/2014,6/24/2014,7/8/2014,7/22/2014,,2,0.618,,,0.04195,0.13945,0.19385,0.22665,0.2641,0.3015,0.34075,0.37385,0.40495,0.4396,0.4644,0.4817,0.5033,0.5215,0.545,0.5532,0.5676,0.5867,0.59155,0.5782,0.618
E6112 ,GX,1/23/2015, A09,Sham,2,7/22/2014,6/24/2014,7/8/2014,7/22/2014,,1,2.5521,,,0.4815,1.6783,2.3749,2.8389,3.1006,3.1787,3.1298,3.094,3.0043,2.9587,2.8956,2.827,2.7927,2.7233,2.711,2.6662,2.6434,2.6084,2.588,2.5665,2.5521
E6112,GX,2/19/2015, C11,Sham,2,7/22/2014,6/24/2014,7/8/2014,7/22/2014,,2,2.8378,,,0.28785,0.92165,1.37805,1.77105,2.1108,2.4214,2.66525,2.83955,2.97405,3.0487,3.0864,3.0989,3.0879,3.0428,3.0312,2.9834,2.957,2.9208,2.87415,2.8418,2.8378
E6131_E6018_E6115,GX,2/12/2015, C12,Sham,0,6/10/2014,6/10/2014,6/24/2014,7/22/2014,,1,0.0819,,,-0.0054,0.0134,0.0173,0.02125,0.02725,0.0339,0.03765,0.0433,0.04915,0.0543,0.05895,0.0625,0.066,0.0698,0.0719,0.07495,0.077,0.07825,0.08,0.08105,0.0819
E6131_E6018_E6115,GX,1/28/2015, C05,Sham,0,6/10/2014,6/10/2014,6/24/2014,7/22/2014,,2,0.343242857,,,0.034985714,0.065757143,0.090428571,0.110685714,0.132628571,0.151042857,0.170071429,0.186185714,0.202828571,0.218771429,0.234928571,0.248514286,0.262057143,0.275342857,0.287071429,0.297685714,0.3082,0.318285714,0.327157143,0.335928571,0.343242857
E6131_E6018_E6115,GX,1/23/2015, A07,Sham,2,7/22/2014,6/10/2014,6/24/2014,7/22/2014,,1,3.046,,,0.4859,1.2828,1.4976,1.7618,1.9741,2.1825,2.3587,2.5063,2.6407,2.7492,2.8068,2.8719,2.932,2.9697,3.0114,3.0112,3.0294,3.0344,3.0453,3.0728,3.046
